epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr,head_lr,seconds
1,0.40426699874162675,0.87034,0.22226142728328704,0.932,0.0001,0.001,81.83893194599659
2,0.17756522622555496,0.94852,0.26673039339482785,0.93,0.0001,0.001,93.43295914601185
3,0.1324340187348239,0.9633,0.2475876281708479,0.935,0.0001,0.001,89.5175009490049
4,0.10611274410018698,0.97198,0.2328259550333023,0.952,0.0001,0.001,82.01002062298357
5,0.029933756195370805,0.99254,0.1690165683068335,0.973,2e-05,0.0002,84.50343993699062
6,0.008321921920965251,0.99802,0.22689231560725603,0.967,2e-05,0.0002,86.91769139099051
7,0.0032087132537850995,0.99946,0.1952651492656296,0.97,4.000000000000001e-06,4e-05,90.0917864239891
8,0.0012127120148066025,0.9997,0.20727722089165762,0.971,4.000000000000001e-06,4e-05,88.97244227302144
