epoch,train_loss,train_accuracy,val_loss,val_accuracy,seconds
1,1.1177307966550192,0.6133333333333333,0.6447820739746094,0.795,11.105473934992915
2,0.36633506697416307,0.8846666666666667,0.49903772735595703,0.839,11.299354503018549
3,0.2143886596262455,0.9395,0.3649643454551697,0.885,9.740436779975425
4,0.1544858327905337,0.9538333333333333,0.3999911962747574,0.897,9.29289620599593
5,0.12556802339386194,0.9661666666666666,0.3880396537333727,0.904,10.63069622599869
